District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21
TX-11,-100.77547,31.86933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,8,11,17,22,33,36,44,57,58,59,88,94,110,113,131,135,157,163,170,175,184,189,194,205,223,227,229,231,255,257,268,277,278,283,304,319,333,349,359,370,399,410,420,429,443,457,459,459,463,472,494,502,509,525,530,531,537,554,562,563,563,586,591,604,610,612,612,634,635,641,652,667,684,704,716,716,716,758,776,793,833,866,866,885,936,951,1062,1110,1189,1198,1215,1359,1474,1588,1662,1816,1842,1878,2067,2179,2424,2596,2689,2781,2802,3296,3482,3827,3947,4317,4399,4492,4968,5176,5475,5678,5874,5926,7004,7144,7658,7873,8280,8411,8454,8909,9218,9412,9703,9998,10063,10094,10153,10658,10802,11055,11202,11290,11294,11481,11836,12000,12245,12557,12601,12641,12766,12979,13098,13211,13395,13481,13502,13582,13797,13917,14073,14263,14326,14342,14424,14520,14638,14717,14855,14930,14935,14941,15032,15175,15203,15385,15427,15442,15504,15712,15826,15942,16083,16156,16168,16271,16546,16678,16818,16980,17024,17031,17161,17414,17527,17634,17836,17906,17940,18136,18365,18556,18662,18949,19041,19050,19152,19461,19712,19945,20207,20331,20365,20622,20957,21308,21530,21837,22064,22136,22634,22877,23299,23683,23955,24191,25523,25688,26586,26961,27416,27883,28076,28190,28703,29611,30076,30504,31466,31758,31863,32213,32822,33206,33655,33992,34327,34471,35123,36293,37222,37589,37691,37820,37976,38631,39203,40462,41305,41679,42053,42170,43045,43774,44307,44812,45334,45586,45749,45937,46752,48645,49085,49552,49941,50046,50457,52120,52820,53147,53177,53268,53623,53880,54992,55547,56021,56354,56441,56585,56737,58193,58723,59610,60037,60579,60590,60684,62029,62540,63244,63855,64322,64413,64497,64615,65589,66723,67231,67755,67812,69178,69762,70157,70461,70725,70962,71015,72022,72605,72986,73421,73729,74147,74173,74234,74733,75501,75905,76318,73009,73014,73017,73039,73187,73196
TX-12,-97.80501,32.77757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,4,4,4,4,5,6,6,6,6,6,9,11,13,13,14,15,16,17,20,21,21,21,21,21,22,23,24,24,24,25,30,30,30,35,35,39,40,41,43,44,45,45,45,45,47,56,57,57,57,57,63,64,67,67,67,67,67,68,68,70,70,76,76,76,79,81,81,87,92,92,92,104,105,105,110,112,112,112,116,118,120,124,124,124,124,138,177,177,177,260,255,255,286,291,304,333,344,344,344,388,473,507,516,556,556,556,615,665,667,679,697,697,697,743,754,896,808,824,824,824,982,1029,1026,1057,1070,1070,1070,1123,1160,1178,1201,1225,1225,1225,1292,1329,1366,1379,1401,1401,1401,1492,1502,1531,1566,1580,1580,1580,1607,1615,1632,1639,1645,1645,1645,1666,1662,1666,1677,1689,1689,1689,1689,1706,1706,1735,1742,1742,1742,1786,1792,1817,1822,1822,1822,1822,1887,1909,1940,1956,1967,1967,1967,2019,2025,2030,2021,2040,2040,2040,2063,2085,2096,2120,2134,2134,2134,2185,2201,2218,2233,2256,2256,2256,2256,2299,2299,2350,2400,2400,2400,2461,2490,2504,2518,2528,2942,2942,3032,3045,3112,3157,3157,3157,3157,3331,3424,3424,3532,3636,3636,3636,3726,3794,3997,4076,4189,4189,4189,4496,4568,4664,4664,4664,4681,4681,4681,5090,5329,5379,5453,5453,5453,5778,5851,5930,6086,6268,6268,6268,6542,6680,6803,6932,7073,7073,7073,7363,7541,7734,7734,7734,7898,7898,8306,8524,8700,8790,8790,8790,8790,9324,9595,9736,9938,10245,10245,10245,10721,10903,11063,11170,11314,11314,11314,11314,11930,12005,12127,12248,12248,12248,12498,12600,12719,12849,12949,12949,12949,13229,13329,13494,13581,13727,13727,13727,13797,13929,14033,14127,14166,14166,14166,14166,14409,14409
TX-13,-100.39590,34.66511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,7,8,11,12,15,19,27,35,40,47,57,81,94,111,124,156,165,173,193,227,251,270,281,284,326,345,383,431,474,512,551,602,651,711,771,865,993,1037,1164,1228,1356,1480,1643,1782,1859,1996,2071,2168,2277,2381,2467,2467,2567,2787,2927,3054,3795,3866,3890,3944,4015,4034,4034,4087,4119,4119,4127,4150,4185,4185,4290,4379,4383,4599,4713,4789,4845,5099,5102,5102,5151,5173,5206,5242,5260,5262,5262,5306,5337,5395,5437,5463,5463,5488,5567,5673,5737,5808,5844,5874,5874,5977,6097,6250,6376,6424,6435,6441,6613,6783,6923,7034,7118,7134,7137,7324,7441,7548,7662,7841,7841,7905,8120,8338,8475,8654,8751,8751,8767,8970,9127,9277,9429,9534,9534,9534,9730,9937,10112,10271,10366,10366,10394,10635,10750,10921,11089,11252,11252,11273,11480,11603,11709,11825,11913,11913,11928,12082,12179,12270,12408,12481,12481,12502,12658,12780,12872,13015,13079,13079,13079,13092,13201,13234,13473,13585,13585,13611,13816,13984,14133,14249,14332,14332,14374,14656,14840,15062,15222,15343,15343,15444,16780,16986,17187,17417,17548,17548,17609,17916,18270,18640,19104,19359,19365,19460,20006,20468,20914,21297,21607,21620,21729,22186,22710,22804,23295,24026,24026,24189,24981,25298,25522,25822,26204,27571,27888,29114,29944,30754,31338,32685,32685,32924,33948,34962,35422,36659,37252,37252,37626,38684,39454,40290,41266,41911,41911,42158,43894,45049,46102,46102,46312,46450,46683,47710,49246,50912,51985,52939,52939,53104,54462,55406,55925,56607,57166,57166,57283,58226,58853,59584,60196,60677,60676,60717,61691,62659,63108,63109,63109,63328,63386,64461,65503,66201,66921,66921,66921,67009,68673,69501,70295,71006,71557,71557,71610,72652,73254,73771,74315,74643,74643,74643,74931,75752,76100,76702,77012,77012,77061,77636,78136,78549,78719,78989,78989,79023,79539,79911,80153,80405,80664,80664,80681,81092,81527,81722,81879,81989,81989,82010,82024,82184,82287
TX-14,-94.94986,29.42467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,9,17,23,28,40,52,56,86,87,122,147,156,205,228,258,293,320,442,482,507,523,558,601,657,680,719,761,791,816,863,911,925,950,997,1038,1139,1179,1182,1250,1258,1300,1328,1362,1411,1469,1490,1512,1547,1582,1593,1638,1680,1712,1727,1744,1773,1819,1834,1853,1864,1905,1943,1968,1991,1991,2030,2076,2088,2099,2122,2158,2158,2222,2258,2284,2338,2379,2418,2477,2515,2589,2611,2443,3005,3061,3149,3212,3322,3361,4086,4222,4384,4500,4699,4905,5022,5229,5364,5699,5940,6506,6613,6778,7349,7504,7950,8534,9343,9432,9546,10470,10939,11444,12030,12520,12879,12971,13700,14163,14673,15134,15711,16060,16381,16743,17353,17668,17963,18225,18384,18842,19483,19847,20192,20536,20746,20746,21063,21340,21776,21989,22209,22461,22613,22875,23173,23365,23715,23970,24199,24332,24513,24754,24939,25109,25278,25444,25511,25561,25813,25885,25997,26192,26373,26467,26579,26674,26897,26986,27172,27222,27397,27462,27742,27946,28022,28380,28578,28781,28802,29053,29160,29335,29459,29530,29666,29679,29759,29934,30013,30126,30258,30287,30401,30507,30621,30722,30784,30881,30948,30948,31079,31199,31295,31344,31412,31467,31496,31769,31697,31850,31912,32017,32061,32115,32259,32371,32371,32506,32733,32856,32884,33000,33155,33307,33466,33635,34183,34369,34530,34639,34818,35021,35182,35300,35346,35875,35803,35877,36300,36524,36723,36723,37036,37379,37641,37915,38185,38393,38426,38781,39150,39486,39486,39757,39972,40094,40632,41209,41661,42230,42692,43013,43120,43688,44062,44404,44996,45582,45958,46437,47072,47654,48240,48862,49271,49847,49992,50637,51706,52539,52772,52994,53889,54303,54946,55640,56352,57008,57080,58058,58251,59133,60059,60771,61600,62467,63049,63148,64117,65105,65886,67635,68142,68584,68701,68949,70276,70932,71819,72300,72865,72923,73755,74289,74799,75493,76000,76438,76562,77245,78380,78759,79183,79754,80202,80025,80397,80774,81078,81425,81812,82099,82084,82194,82235,82235
TX-15,-98.15139,26.93449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,11,19,20,27,39,43,56,66,87,107,117,119,132,157,178,190,198,233,244,244,255,274,285,295,302,319,326,335,348,356,365,378,383,389,393,409,418,429,439,440,442,455,456,464,475,486,499,503,510,520,528,542,553,554,570,579,593,606,611,621,627,642,649,663,686,697,715,716,731,740,768,799,847,849,871,903,929,978,1019,1095,1155,1162,1245,1313,1468,1564,1762,1907,1920,2058,2346,2646,3119,3358,3596,3603,4011,4359,4834,5147,5447,5815,5823,6392,6551,6915,8514,8572,8637,9075,9392,9403,10058,10779,12065,12671,14016,14540,14632,15025,15732,16602,17223,17245,17843,17926,18270,18720,19358,19396,19396,19749,20209,21271,21864,22316,22409,22633,23048,23388,23762,23791,24873,24922,25131,25135,25988,26296,26750,27258,27334,27839,28528,29334,30056,30534,30738,30750,30926,31060,31265,31554,31861,32081,32085,32307,32448,32655,32885,32885,33169,33170,33281,33354,33580,33914,34258,34468,34476,34476,36409,36689,36874,37095,37293,37297,37297,37412,37586,37774,38033,38251,38256,38256,38596,38774,38970,39129,39343,39348,39353,39564,39698,39845,40095,40246,40257,40249,40261,40455,40452,40452,41092,41136,41145,41318,41515,41727,41935,42072,42085,42591,42754,42971,43161,43413,43659,43685,43690,43940,44165,44361,44364,44609,44684,44687,44852,45320,46081,46778,47542,47581,47599,47599,49035,49965,49961,50588,50591,50618,50802,51414,52348,53132,53834,53857,53862,53862,54323,55244,55293,56013,56125,56142,56596,57152,57905,57996,58126,58176,58193,58608,59011,59785,60184,60240,60240,60272,60576,60997,61705,62490,62578,62578,62609,63057,64382,65066,66077,67056,67218,67242,67787,68333,69438,70062,70763,71014,71036,71036,71729,72755,74009,74876,75126,75140,75925,76664,77430,78374,79187,80026,80037,80770,82068,83157,83848,84717,84807,84841,85857,86630,87328,87953,88678,88769,88772,88772,89370,89523,89993
TX-16,-106.23633,31.76981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,6,6,7,7,9,10,16,28,28,38,42,40,53,57,75,85,103,113,132,132,153,192,225,252,269,292,300,346,393,451,482,505,531,540,587,674,706,706,780,802,829,857,887,924,961,986,998,1029,1080,1119,1190,1276,1322,1340,1348,1413,1456,1607,1655,1726,1772,1852,1930,2046,2046,2265,2340,2376,2393,2461,2569,2569,2704,2764,2794,2833,2872,3069,3213,3298,3376,3376,3512,3582,3650,3650,3794,3834,3911,3948,3999,4088,4178,4340,4488,4553,4677,4809,4984,5217,5330,5614,5745,5928,6124,6389,6665,6953,6953,7461,7642,8035,8385,8746,9099,9510,9716,9953,10298,10638,10843,11132,11573,11769,12041,12297,12501,12750,12971,13240,13240,13552,13807,13939,14276,14410,14410,14914,15142,15427,15596,15908,16040,16308,16396,16936,17210,17378,17632,18079,18350,18486,18682,18914,19057,19177,19316,19396,19554,19622,19753,19925,20072,20217,20350,20460,20539,20611,20686,20686,20850,20939,21093,21187,21259,21259,21335,21559,21621,21731,21826,21826,22078,22179,22329,22476,22652,22821,22821,23207,23388,23604,23784,23905,24170,24446,24666,24999,25206,25569,25793,26030,26432,26969,27394,27953,28499,28499,29384,29887,29887,31478,32060,32758,33326,34035,34760,34760,36025,38554,39326,40887,42332,43425,45039,47052,48885,50114,51536,52817,56355,58429,59852,61104,63161,64158,65651,67484,68804,70575,72238,73340,74973,76075,77186,77977,79162,80291,81179,81511,82809,83451,83993,84683,85318,85696,86172,86752,87799,88491,89100,89540,89762,90222,90748,91150,91468,91868,92584,92810,93223,93455,93859,94240,94530,94918,95177,95544,95758,96078,96428,96722,97053,97178,97409,97710,98017,98540,98906,99327,99672,99889,100421,100944,102055,102055,102889,103197,103787,104085,104714,105347,106312,106312,106677,107191,107552,108561,108561,109108,109589,110125,111061,111061,111689,112259,112652,113145,113637,114058,114386,114819,115300,115847,116263,116644,117039,117370,117743,118248,118715,119148,119476,119774,119997,120205,120556
TX-17,-96.74039,31.14815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,20,27,29,32,44,50,61,69,81,85,91,101,117,127,132,137,158,160,172,193,194,217,233,239,245,252,265,267,278,285,287,289,293,299,304,308,309,310,313,327,335,342,351,362,364,366,379,393,405,423,435,442,449,459,476,484,492,499,507,516,530,452,569,579,632,650,652,656,672,683,690,706,712,718,741,760,783,827,878,903,910,954,986,1019,1045,1112,1145,1168,1252,1425,1537,1632,1716,1783,1861,1945,2072,2247,2459,2638,2819,3015,3134,3450,3672,4012,4365,4521,4641,4869,5320,5715,5995,6138,6283,6369,6621,6941,7102,7326,7514,7644,7789,7937,8173,8397,8573,8761,8870,8922,9031,9186,9322,9466,9571,9584,9711,9889,10044,10159,10320,10393,10471,10531,10651,10757,10909,11020,11101,11145,11200,11259,11376,11549,11645,11770,11894,12140,12238,12424,12617,13165,13333,13486,13560,13729,13960,14173,14396,14546,14657,14765,14892,15057,15163,15465,15605,15707,15776,15950,16103,16262,16425,16053,16716,16781,16875,17039,17288,17492,17639,17716,17796,17937,18072,18212,18348,18521,18611,18796,19163,19331,19551,19747,19920,20000,20062,20239,20425,20606,20799,20934,21090,21152,21268,21374,21427,21548,21819,21945,22040,22173,22266,22427,22640,22829,23419,23459,23677,23870,24098,24305,24559,24811,24868,25159,25406,25760,26010,26380,26638,26771,27079,27508,27841,28198,28610,28911,28998,29349,29802,30192,30197,30203,30281,30390,30900,31195,31539,31907,32228,32469,32558,32941,33218,33906,34249,34614,34845,34992,35327,35664,36114,36478,36888,37170,37265,37683,38119,38505,38506,38506,38619,38745,39589,40080,40555,41069,41069,41184,41289,42147,42623,42910,43685,44143,44406,44562,44931,45580,45957,46503,46876,47074,47203,47317,48194,48482,48772,49073,49275,49418,49805,50032,50359,50750,50981,51155,55308,55654,55968,56254,56549,56914,57020,57267,57642,57959,58255,58400,58432,58530,58530,58624,58638,58643
TX-19,-101.38074,33.28932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,13,14,15,19,29,37,54,58,75,87,116,141,159,174,201,225,252,262,274,316,342,360,386,439,449,469,513,557,600,633,646,665,702,756,793,800,816,825,870,919,945,997,1042,1072,1101,1120,1162,1010,1022,1031,1041,1047,1063,1084,1100,1115,1127,1134,1144,1172,1190,1218,1221,1238,1272,1276,1246,1261,1487,1487,1618,1623,1625,1854,1902,1913,1948,1970,1977,1984,2013,2034,2059,2103,2153,2199,2209,2291,2379,2505,2644,2785,2873,2932,3042,3219,3412,3610,3762,3839,3902,4091,4363,4686,4962,5136,5140,5190,5696,5921,6248,6493,7037,7220,7724,7515,7628,8003,8311,8510,8711,8779,8964,9200,9445,9651,9812,9893,9986,10185,10416,10585,10792,10938,10938,11029,11242,11421,11552,11766,11890,11890,11937,12356,12477,12598,12751,12877,12918,12934,13009,13226,13339,13439,13567,13621,13660,13786,13907,14012,14233,14370,14485,14550,14687,14988,15348,15711,16093,16370,16396,16483,16598,16593,17078,17199,17322,17404,17676,17757,18043,18196,18527,18607,18761,18930,19195,19507,19758,20075,20158,20256,20753,20987,21360,21622,21844,22060,22136,22386,22786,23028,23365,23718,23975,24225,24561,24965,25549,26006,26411,26690,26966,27440,27927,27927,28441,29434,29751,30176,30633,31113,32041,32614,33035,37300,37680,38744,39645,40638,41377,42521,42766,43135,43980,45359,46127,47250,48235,48706,49641,50740,51588,52568,53597,54457,54898,55611,56542,57958,58887,59690,60358,60802,61318,62140,63452,64193,65194,65889,66405,66829,67323,68005,68643,69162,69742,70139,70570,71533,72373,73036,73768,74356,74997,75422,76171,76986,77602,77880,77891,78422,78541,79094,80073,80712,81159,81208,81709,82032,82643,83323,84097,84734,85354,85673,86089,86663,87116,87638,88126,88478,88736,89030,89307,89781,90223,90663,91097,91313,91518,91703,92140,92493,92801,93131,93272,93378,93637,93904,94134,94350,94510,94628,94672,94912,95477,95889,96264,96640,96709,96750,96768,96864,96916
TX-21,-98.71037,29.94781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,7,9,12,14,16,17,19,21,22,26,30,36,37,38,43,46,51,53,56,57,58,59,67,69,71,71,71,71,71,73,78,79,80,83,83,83,86,88,90,94,94,95,96,98,101,106,109,109,109,110,113,114,114,117,117,117,121,125,131,131,131,141,141,141,147,151,151,162,164,169,172,181,184,188,193,193,193,198,213,215,220,231,240,240,243,282,295,339,364,404,412,434,510,574,599,644,679,680,699,773,854,912,998,998,996,1071,1093,1191,1251,1360,1437,1437,1477,1555,1642,1733,1900,1924,1927,2037,2090,2181,2282,2383,2383,2383,2482,2487,2551,2581,2590,2590,2600,2669,2706,2763,2777,2823,2846,2846,2962,2970,3049,3082,3152,3223,3233,3243,3317,3375,3393,3414,3419,3419,3445,3451,3456,3473,3506,3520,3521,3558,3560,3577,3627,3627,3627,3627,3628,3673,3673,3700,3705,3755,3755,3771,3771,3794,3806,3817,3823,4242,4282,4293,4299,4346,4364,4364,4364,4405,4412,4434,4446,4447,4450,4535,4543,4543,4550,4553,4569,4575,4586,4591,4609,4627,4641,4650,4650,4662,4673,4689,4689,4716,4741,4748,4760,4783,4799,4827,4822,4833,6019,6020,6057,6122,6195,6255,6336,6336,6412,6535,6578,6589,6757,6858,6899,6899,7051,7185,7226,7311,7414,7434,7434,7534,7799,7864,7905,7905,7905,7926,8098,8652,8722,8897,9091,9143,9143,9261,9410,9538,9754,9913,9973,9973,10070,10507,10689,10959,11122,11200,11200,11310,11747,11828,11966,11966,11966,11966,12159,12331,12495,12558,12685,12686,12686,13434,13649,13928,14161,14350,14355,14355,14539,14958,15097,15293,15455,15455,15455,15455,15732,16156,16369,16555,16555,16555,16686,16993,17303,17515,17841,17842,18079,18284,18575,18728,18945,19121,19121,19123,19311,19586,19716,19850,19944,19943,19943,19948,19951,19952
TX-22,-95.77219,29.52704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,6,6,6,6,9,9,9,9,9,12,19,24,29,29,29,46,46,86,101,101,119,119,163,163,194,221,255,268,318,318,417,437,485,518,536,543,543,627,627,656,755,755,783,808,808,889,889,905,919,952,957,973,1018,1052,1079,1133,1183,1187,1245,1287,1332,1357,1370,1385,1404,1404,1452,1471,1510,1558,1559,1559,1621,1652,1652,1676,1685,1685,1732,1732,1766,1766,1832,1861,1881,1881,1916,1951,2032,2117,2117,2117,2138,2225,2299,2320,2358,2385,2385,2402,2496,2667,2726,2882,2951,3069,3132,3176,3267,3397,3645,3716,3716,3722,3782,3868,3999,4120,4120,4120,4286,4346,4413,4524,4617,4758,4799,5015,5211,5284,5371,5689,5979,5995,5995,6239,6352,6460,6530,6530,6679,6772,6852,6960,7082,7082,7082,7191,7287,8559,8878,9151,9533,9533,10021,10335,10487,10823,11369,12228,12228,12623,13034,13605,13688,13794,14034,14034,14640,14645,14761,14761,14845,14933,14933,14957,14983,15036,15081,15100,15144,15144,15144,15158,15249,15331,15352,15423,15423,15471,15499,15625,15678,15734,15789,15789,15814,15908,16049,16102,16167,16207,16207,16295,16387,16472,16494,16572,16603,16603,16620,16642,16703,16712,16797,16880,16880,16912,16966,17019,17038,17062,17126,17126,17157,17238,17351,17362,17392,17392,17392,17486,17556,17585,17634,17672,17735,18416,18416,18461,18518,18614,18802,18903,18948,18948,18948,19149,19149,19310,19600,19670,19811,19865,20043,20142,20336,20464,20593,20593,20821,21328,21588,21588,21588,22165,22165,22319,22501,23353,23955,25240,26876,26876,27533,28006,29240,29461,29594,29844,29844,30042,30201,30938,31382,31846,31946,31946,32082,33399,33985,33985,33985,33985,33985,34493,35705,36158,36324,36324,36324,36324,36526,37246,39322,39662,39662,39662,40143,41264,41611,42776,43662,43662,43662,44067,45514,46287,46639,47021,47021,47021,47427,48425,48982,49529,49992,49992,49992,50368,51601,51916,52498,52824,52824,52824,53153,53764,54233,54795,55272,55272,55272,55272,55272,55272,55272
